ID,City,District,ScenicSpotName,NewCategory,Address,Description,OpenTime,Phone,TravelInfo,WebsiteUrl,Class1,Class2,Class3,Keyword,ParkingInfo,Position,Level,Picture,MapUrl,DescriptionDetail,室內室外分類
1,臺北市,中山區,MAISON ACME｜圓山別邸,⛰️ 自然生態類,臺北市中山區中山北路三段181 之1號,,台北故事館 10:00~17:30；週一公休。定時導覽：每日 11:00、15:30。故事書坊 10:00~﻿17:30；週一公休。,886-2-66177979,,,古蹟類,自然風景類,,,,"{'PositionLon': 121.52458953857422, 'PositionLat': 25.073129653930664, 'GeoHash': 'wsqqtk7t8'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/374100', 'PictureDescription1': 'MAISON ACME｜圓山別邸'}",,日治時期，台北大稻埕茶商，經營永裕號的陳朝駿，於1913年在台北市基隆河畔圓山地區，起建一棟英國都鐸式風格的洋樓，1914年完工，以作為他招待台灣士紳、政要以及各國茶商的聚會場所，也作為家庭成員休憩、度假及聚會所在地。陳朝駿曾任同業組合台北茶商公會會長，為當時正蓬勃的台灣茶產業重要人物之一。這棟房子落成時，正是日治時期，當時政府為建立台灣成為政治、金融及學術教育的中心，有計劃地擴建台北市街，鋪設環城三線林蔭大道；並且引進各種歐洲建築風格，加以混合、變化，使得此時的台灣建築展現了極為繁複的特色，陳朝駿起建的這棟房子正是在這樣的時代風潮下建造的。陳朝駿在1923年過世後房子幾經易手，經歷過多次轉變。二次世界大戰後，曾經作為前立法院院長黃國書的住宅，1979年由台北市政府進行徵購，並將此地暫時做為公園路燈管理處北區分隊駐在所，供辦公及置放器具。1987年12月正式交由台北市立美術館管理，於1990年成立「美術家聯誼中心」，1998年被指定為古蹟，調查與修復的工作先後展開。在古蹟再利用的理念下，2003年4月19日至2015年4月18日，這棟古蹟由陳國慈女士認養並贊助成立「台北故事館」對外開放，以介紹台灣生活文化和推廣古蹟再利用為目的，透過多樣的活動和展覽讓社會大眾輕鬆的親近古蹟，讓古蹟有了新生命。2015年5月起由財團法人郭木生文教基金會接續經營台北故事館，以食、衣、住、行、娛樂為主軸，策劃相關主題展覽及藝文活動、推廣茶文化，持續在「台北故事館」說故事。同時，結合附近社區、民眾和社會資源，一起參與維護古蹟推動文化資產保存教育，延續百年老屋的歷史。台北故事館，為仿英國都鐸時期的半木構造建築，是台灣罕見的建築形式。建築一樓以磚造作為承重牆，入口處為愛奧尼克式門柱。二樓為木結構，利用曲線、垂直、水平的木條構成二樓牆外樹枝狀優美的壁面。歌德式塔樓與煙囪則是磚造，塔樓屋頂有弧形屋簷，採用銅瓦鋪成，銅瓦歷久產生銅綠，留下歲月痕跡。古蹟入口上方的塔樓鑲嵌著綠、黃、紅三色的彩繪玻璃，室內有著造形優美的壁爐兩座，以及大量流行於二十世紀初，富含大自然、花草圖案的「新藝術」風格凸花磁磚和吊燈。整體室內空間配置，乃至於室外陽台、露台，均與周遭的景觀密切結合，呈現出典雅的風格。2021年ACME團隊正式接手台北市定古蹟圓山別莊（原台北故事館）的經營權。興建於1913年，難得的都鐸式風格建築，靜靜地在基隆河畔，跨越超過一世紀的風華洗鍊過去它是大稻埕傳奇茶商的豪邸，也曾是當年頂尖藝術創作者及大文豪的社交中心，我們將其重新定位，作為一座融合新與舊的現代宅邸展演空間。,室內
2,臺北市,中山區,MAJI集食行樂_圓山花博爭豔館,🛍️ 商圈市集類,臺北市中山區玉門街1號,,*神農市場*星期一～星期五PM12:00-PM19:30*寰宇小吃攤*星期一~星期四 11:30~20:30星期五 11:30~21:30星期六~星期日 10:30~21:30(含例假日),886-2-25977112,,http://www.majisquare.com/,自然風景類,,,,,"{'PositionLon': 121.521728515625, 'PositionLat': 25.069660186767578, 'GeoHash': 'wsqqt7c3m'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/184759', 'PictureDescription1': 'MAJI集食行樂_圓山花博爭豔館'}",,「MAJI2集食行樂」鄰近台北市立美術館，隱身在台北花博公園圓山園區一角，於2013年6月正式營運。由歌手哈林庾澄慶與知名設計師葉裕清精心規劃，在大自然中運用貨櫃、原木穀倉，巧妙包覆住美食、原創商品、音樂、藝術等元素，打造出具有異國氛圍的生活市集空間：一座城市遊樂園。MAJI2包含六大區域：神農市場、寰宇小吃街、創意市集、異國美食餐廳、特色商店街及多功能展演空間。【神農市場】為愛吃愛做菜的人把好吃、安心、天然、無毒食材通通集合再一起的神農市場，精心挑選全國各精緻小農的作物產品，其中為數不少是獲得農業部神農獎章的好農商品，以及一般超市難見的優質小品牌調味醬料，並引進南門市場的傳統食材，與帶入華人口味的熟菜食堂，讓顧客可以直接帶回家。【寰宇小吃街】以貨櫃排列，搭配復古桌椅，營造出獨特用餐空間。無論是臺灣味小吃，還是東西方美食匯串，都在異國小吃街。【創意市集】創意市集聚集手工皮革包、原創服飾、特色飾品，以及各類生活設計小物，讓你目不暇給，隨處發現驚喜。(部分資料來源：財團法人臺北市會展產業發展基金會),室外
3,臺北市,中山區,SPOT光點台北電影館,🎨 藝文展館類,臺北市中山區中山北路二段16-1號,,,886-2-25117786,,http://www.spot.org.tw/,文化類,,,,,"{'PositionLon': 121.52224731445312, 'PositionLat': 25.05324935913086, 'GeoHash': 'wsqqt2ccc'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/63724', 'PictureDescription1': 'SPOT光點台北電影館'}",,外觀為白色的2層樓西洋建築，廊柱為希臘柱式，風格似美國南方殖民風格，美國大使藍欽、莊萊德、柯爾克等人皆以這棟建築物做為官邸。1979年中美斷交後，最後一任大使離臺，建築物正式關閉。閒置多時的建築物，於內政部在1997年2月20日指定為第三級古蹟，有了新的轉機，臺北市文化局委託臺灣電影文化協會經營，成為以電影文化為主的「臺北之家」。內設光點電影院，有88座位。「光點．紅氣球」為提供輕食的電影沙龍，可容納約50人，每日下午5點以前開放民眾使用該空間。迴廊展覽館呈現各藝術創作者的作品，多功能藝文廳，面積為25坪，可容納約60人，內部設有電影相關書櫃，提供民眾閱讀，可以在此舉辦演講、座談會、茶會等。「光點．珈琲時光」咖啡廳，在庭園邊老樹旁，「光點．生活」書店則是一家專以「電影」與「城市」為主題的書店。臺北光點，為臺北的電影文化點亮了美好的光影。,室內
4,臺北市,中山區,中山北路婚紗街,🛍️ 商圈市集類,臺北市中山區中山北路二段89-7號,,依商圈各店情形不同,886-2-25031369,,,自然風景類,,,,,"{'PositionLon': 121.52313232421875, 'PositionLat': 25.059160232543945, 'GeoHash': 'wsqqt3fkn'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/181240', 'PictureDescription1': '中山北路婚紗街'}",,臺北具有異國風情的林蔭大道當推中山北路婚紗街，寬敞的街道與層層樹蔭，人行道上櫥窗內滿是美麗的婚紗禮服。短短一公里多的路上聚集了多間的婚紗攝影與喜餅、婚禮顧問、美體工作室等相關產業，春天走在這裡的楓香林蔭下可說是一大享受，看著櫥窗裡如同童話公主穿著的各式豪華婚紗爭奇鬥艷，店家在門口擺出一張張儷影雙雙的照片，常勾起人對於幸福的浪漫遐思，並永存當下佳人形影的幸福氣息。,室外
5,臺北市,中山區,中山北路條通商圈,🛍️ 商圈市集類,臺北市中山區中山北路一段131號,,依商圈各店情況不同,886-2-25626434,,,小吃/特產類,自然風景類,小吃/特產類,,,"{'PositionLon': 121.52263641357422, 'PositionLat': 25.05164909362793, 'GeoHash': 'wsqqt2d06'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/88133', 'PictureDescription1': '中山北路條通商圈'}",,中山北路的條通文化源自於日據時期，街廓裡的各式日式小吃店、酒吧是許多日僑及觀光客喜愛光臨之處，有著日據時期延續至今的異國情調，頗可感受到與臺灣歷史緊密結合的氣氛。至今條通仍保有濃厚的東洋情調，不但有居酒屋、懷石料理亭，還有不少日本家常菜，如：馬鈴薯燉肉、關東煮、鰻魚飯、燒肉等日常料理，在巷弄深處飄散著老東京的味道。這裡集合的臺日美食，也反映臺灣從前到現代的飲食文化，例如七條通就是臺灣燒肉文化的發源地。,室外
6,臺北市,中山區,五指山系_劍潭山親山步道,⛰️ 自然生態類,臺北市中山區中山北路四段6號,,開放空間,886-2-27593001,,,自然風景類,,,,,"{'PositionLon': 121.52494049072266, 'PositionLat': 25.079130172729492, 'GeoHash': 'wsqqtmeb8'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/325821', 'PictureDescription1': '五指山系_劍潭山親山步道'}",,劍潭山海拔153公尺，位於臺北市士林區圓山風景區，是圓山飯店後山的北稜，也是臺北市最接近市中心的小山，沿著稜脊步道緩緩前行可抵達其他山岳，走起來幾乎是輕鬆自在，在交通便捷上佔有極大之優勢。劍潭山親山步道登山口位於中山北路四段公車劍潭站旁，這裡曾是軍事管制區與保安林地，因此自然林相與生態植物保存的相當完整；步道兩旁許多人工栽種植被與經濟植物，讓步道充滿盎然的綠色魅力。這條步道已成為市民晨運健身的場所，如位於稜線上「老地方」，就是大家熟知的健身據點。步道沿途可以欣賞圓山飯店、基隆河河濱公園等景致，步道盡頭為大直的通北街165巷、北安路口處，是一條坡緩易行的郊山步道。劍潭山越到夜晚景越美劍潭山親山步道夜景的人氣指數向來高居不下，當然自有其獨特之處，於制高點欣賞繁華的市景燈火夜色，不時還有飛機低空略過星空，總讓山友為之興奮、津津樂道，結合士林夜市美食小吃同遊，來到這裡夜間探路健走的民眾甚至比白天、晨間來的更多，這也是其越夜越美麗、熱鬧的原因吧！台北之心　坐擁山林爬山真的一點也不難，尤其是從劍潭山入門。由捷運劍潭站出發，輕輕鬆鬆就能找到登山口；若是公車族，劍潭公車站旁就是入口處，拾級而上即能通達綠意山林。沿途放眼望去，步道兩旁盡是休憩空地或涼亭，走走停停，不一會兒就完成步道初體驗。劍潭山是最接近市中心的小山，而你對它一定不陌生。無論是搭乘捷運淡水線往淡水方向，或是由高速公路進入台北市區，瞥見富麗堂皇的圓山飯店所在的山頭，那一片青翠連綿的山巒就是劍潭山。由於這一帶以前是軍事管制區和保安林地，所以自然林相得以保持，密林遍佈整個步道。樹木不受人為干擾，恣意展放他們最美麗的姿態，棲息其間的物種也能悠遊自得。抬頭仰望，說不定就能看到松鼠跳躍林間，還有披著五色彩衣的五色鳥、翠綠小巧的綠繡眼也是這裡常見的鳥類。雖然軍事管制解除之後，原始山林因為人為開發起了變化，步道兩旁多見人工種植的園藝植物或經濟植物，綠意盎然的山徑步道魅力猶存。現在的劍潭山已成為臺北市民晨間健身運動的重要場地之一，稜線上的「老地方」是大家熟悉的健身據點。沿途各式各樣的早覺會、山友會、羽球社羅列步道兩旁，數量驚人蔚為奇觀，儼然是一座設於山間的都市型公園，又像是民眾的「戶外客廳」，銀髮族把這裡當作KTV俱樂部，有人在這忘情高歌唱卡拉OK，還有人打起麻將，當然聊天、泡茶更不在話下。「親民」之後的劍潭山可是熱鬧得不得了。與天齊高　坐收美景在歌聲簇擁中往前行是難忘的登山經驗，和步道上不絕於耳的蟬鳴聲相較，不知會是東軍勝出，還是西軍技高一籌？先撇開如此的奇觀不談，別忘了登高遠望四周的好風景。登劍潭山讓人津津樂道之處，其一是可以站在山上迎風觀賞飛機起降。往實踐大學方向，有處山友稱之為「觀機坪」的觀景區，視野開闊幾無遮蔽物，絕對讓你過個過癮。如果往接近山頂的木棧道去，景觀可就更豐富。映入眼簾的視覺焦點是造型特殊的大直橋和醒目的台北101高樓。大佳河濱公園全景在此一覽無遺，基隆河截彎取直之後形成的河濱公園綠地、每逢整點固定噴水半小時的「希望噴泉」、臺北市首座釣竿式斜張橋「大直橋」，還有每年龍舟競賽的司令台和周邊廣場，駐足觀景瞬間心曠神怡。當然，無論白天夜晚都是世人注目焦點的圓山大飯店，也是不可錯過的賞景好據點。這裡的夜景人氣指數一直高居不下，自有其獨特之處。站在後山山丘向前望可遠眺臺北市區，往左方眺望河濱公園噴泉和綠色河堤，向右隱約可見基隆河波光粼粼，還有更遠處的觀音山。同時欣賞繁華的市景燈火和朦朧靜謐的夜色，若是恰好有飛機掠過星空，那可是別處沒得比的私房景觀。走趟短短的路程，就能一飽如此炫目的豐富美景，你怎麼還捨得待在家中？,室外
7,臺北市,中山區,兒童藝術教育中心,🌳 都會休閒類,臺北市中山區中山北路三段181號,,週二至週日 09:30 ~ 17:30 (週六延長開放至20:30)週一休館,886-2-25957656,,https://www.tfam.museum/kid/index.aspx?ddlLang=zh-tw,藝術類,,,,,"{'PositionLon': 121.52442932128906, 'PositionLat': 25.07221031188965, 'GeoHash': 'wsqqtk72h'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/182279', 'PictureDescription1': '兒童藝術教育中心'}",,歷經五年籌備的兒童藝術教育中心，獲得台積電文教基金會出資贊助、臺北市政府挹注經費，在館方人員和建築設計團隊和努力下，於2014年兒童節正式對外營運，並推出開幕大展「禮物」，藉此表達其定位：一份獻給未來世代的禮物。視覺標示設計有如積木般相疊的幾何方塊造型，擷取自臺北市立美術館的管狀結構造型元素；窗扉符號則意味兒童被微小好奇心驅使，由窗戶一角窺瞰天空，進而探索更廣闊的世界。兒藝中心以既有的空間條件為基礎，化空間邊陲為營運核心，並逐步納入當代藝術教育思維；除了宣示學習為重要的核心價值，2015年起企圖擴大教育學習的定義，亦即創造新的知識生產方式及美術館體驗。傳統美術館以「物」為主體的典藏及展覽功能，逐漸轉變成以「人」為主體的定位。美術館不僅擁有豐富的藝術收藏，也是觀眾得以休閒、社交，在日常生活中體驗藝術的友善空間；另則強調參與式的體驗，期望觀眾在與同伴互動討論的過程中進行學習，激盪出參觀經驗的多樣可能性，並且發展出北美館和觀眾之間的新關係。當代藝術包含了大量的跨領域知識，並且強調思辨與社會參與。2016年兒藝中心教育企劃從展覽的概念正式轉型成為「教育計畫」，每年推出一至兩檔，結合主題展示和創作工坊，由館內教育人員與當代藝術家共同策劃。在「教育計畫」中，館員不只是擔任藝術作品詮釋的中介者角色，同時也是經驗轉化者；藝術家的角色也不再只是被動受邀為作品創生者，而可以主動成為學習經驗建構者。一方面，兒藝中心的教育計劃以藝術家為模型，讓兒童得以透過藝術家的視角、透過他們的創意思維及問題解決辦法，認識多樣的世界。另一方面，我們也邀請藝術家與館員合作討論，為每一次的教育計劃發展互動裝置，為自己作品或其他藝術家作品中的經驗轉化為可學習的模式，帶著觀眾從被動的視覺賞析，擴大到身體及感知層面的參與。透過參與教育計畫，觀眾將成為主動發掘世界的探索者，並且累積視覺識讀能力〈visual literacy〉和概念思辨力。(資料來源:兒童藝術教育中心),室內
8,臺北市,中山區,卓悅藝文中心,🎨 藝文展館類,臺北市中山區南京東路二段124號9樓,,週一 ~ 週五  10：30~19：00(六日僅開放場地租借。如欲周末場勘，請先行預約),886-2-25019888,,,文化類,,,,,"{'PositionLon': 121.53328704833984, 'PositionLat': 25.051740646362305, 'GeoHash': 'wsqqt89bf'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/102584', 'PictureDescription1': '卓悅藝文中心'}",,卓悅藝文中心座落於台北市中山區，松江南京捷運站四號出口，交通便捷。成立於2012年台北市南京東路的商業大樓中，是台灣少見的小型音樂會場地。秉持著打造人文與藝術匯集的音樂殿堂，提供台灣音樂家與觀眾最優質的服務。中心設有兩個展演空間，表演廳專為古典音樂所設計，設有108席，感受零距離的音樂享宴。溫馨典雅的沙龍廳可容納50人，適合小型發表會、茶會、酒會等活動，延展表演廳的交誼功能。 提供的服務包含「卓悅表演廳」、「卓悅沙龍廳」租借、使用和申請。(資料來源:卓悅藝文中心臉書),室內
9,臺北市,中山區,台北啤酒工場,🏯 歷史人文類,臺北市中山區八德路二段85號,,全年無休(除夕例外)，每日上午9點~下午5點,886-2-27719131,,https://event.ttl.com.tw/tp/,觀光工廠類,,,,,"{'PositionLon': 121.53572845458984, 'PositionLat': 25.04591941833496, 'GeoHash': 'wsqqmx7x5'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/112810', 'PictureDescription1': '台北啤酒工場'}",,"歷史沿革台北啤酒工場的前身為「日本高砂麥酒株式會社」，創立於1919年，是日治時代台灣唯一的啤酒工廠。1945年由政府接管後，隸屬於台灣省菸酒公賣局「第二酒廠」，1975年更名為「建國啤酒廠」，期間經過改良釀造技術更新製造設備，添建新式廠房，產量與年俱增，最高曾達到年產1200萬打啤酒的輝煌紀錄。1997年7月1日起，建國啤酒廠與復興啤酒廠兩廠合併為一，建國廠成為復興啤酒廠的建國廠區，廠務由復興廠管理。2000年6月台北市政府指定「建國啤酒廠」為第95號市定古蹟，保留下全國最重要的啤酒產業文化資產，並朝「啤酒文化園區、產業活化保存」的方向邁進。2001年4月「建國廠區」廠務改由「瓶蓋工場」管轄，2002年台灣省菸酒公賣局改制為台灣菸酒股份有限公司，「建國廠區」同時更名為「台北啤酒工場 」，2003年11月「台北啤酒工場 」改由「竹南啤酒廠 」管轄，2007年4月30日台灣菸酒股份有限公司為周延文化保存、善盡社會責任，以任務編組方式，將台北啤酒工場業務獨立於啤酒事業部管轄，暫成立為「台北啤酒文化園區管理處」，俾能更專責辦理台灣啤酒文化保存之工作，並於2008年7月1日獨立建制為台北啤酒工場。廠址與面積台北啤酒工場舊地址為臺北市中正路1407號，臺北市改制後改為現行地址為臺北市八德路二段85號。土地面積為52,630平方公尺。都市計劃為第三種工業區。台北啤酒工場的廠房包含，糖化大樓、醱酵大樓、貯酒大樓、包裝工場、成品倉庫、行政大樓、修護工場及福利樓房。建築面積有25,627.71平方公尺，總樓地板面積34,638.91平方公尺。文化保存台北啤酒工場是台灣唯一具歷史價值之啤酒工廠，啤酒在台灣各種酒類中屬道道地地的舶來品到現在才不過百餘年歷史。帝國主義時期為供應殖民地的僑民飲用而輸入外國的啤酒，並在市場上銷售。台灣是先有啤酒才有啤酒廠。國外資本家利用我國的廉價原料與勞動人力，開始在台灣建立啤酒廠。未來展望產業保存暨古老建築再利用，世界進步的國家都有良好例子。例如日本北海道扎幌的「啤酒紀念館」，原是鑒於1890年磚造的國營啤酒廠，1966年經歷內部整修成為啤酒屋「扎幌啤酒苑」，現已成為扎幌市聖地。「台北啤酒工場」佔地廣闊，為讓重要文化產業---台灣啤酒發源地「台北啤酒工場」，保存流傳後世，保留現有生產線繼續生產，其他部分做有系統規劃，對其建築風格與原來功能，重新規劃為結合生產、觀光、商業、文化與休閒等多用途特區，以符合現代化進步都市的發展潮流，讓台北市成為一個有特色的城市。(文字參考/台北啤酒工場官方網站)",室內
10,臺北市,中山區,台灣基督長老教會_中山教會,⛰️ 自然生態類,臺北市中山區林森北路60號,,週一至週日都有各項聚會及禮拜時間，來之前請先致電詢問,886-2-25518480,,http://www.pct.org.tw/churchdata.aspx?strOrgNo=C02004,廟宇類,自然風景類,,,,"{'PositionLon': 121.52438354492188, 'PositionLat': 25.049030303955078, 'GeoHash': 'wsqqt2535'}",非古蹟,"{'PictureUrl1': 'https://www.travel.taipei/image/179889', 'PictureDescription1': '台灣基督長老教會_中山教會'}",,中山教會是日本人所建之基督教堂，大門拱柱刻著「一九三七年三月奠基」，原為日本基督教聖公會教堂，稱為大正町教會，供當時住在大正街一帶日本人教徒禮拜之用。外觀仿英國歌德式教堂設計，從高處往下看，可看見教堂屋頂呈十字架形狀、尖拱、屋架轉角石與扶壁等，保存完整，具有建築價值。,室內
